Natural Gas,Oil,Weather,Inflation,ValueofDollar,3MoOut,Oil_3_mo_proj,Oil_6_mo_proj,Oil_12_mo_proj,NG_3_mo_proj,NG_6_mo_proj,NG_12_mo_proj,Electricity
7.28,100.84,91.8,0.085,0.849333333,0.835666667,88.83,80.4,80.4,9.13,6.97,6.97,0.196
8.81,93.76,86.8,0.083,0.842416667,0.828583333,88.83,80.4,80.4,9.13,6.97,6.97,0.196
7.88,84.62,80.6,0.082,0.835583333,0.821666667,88.83,80.4,80.4,9.13,6.97,6.97,0.199
5.66,86.61,69.1,0.077,0.829166667,0.817833333,80.4,80.4,80.4,6.97,6.97,6.97,0.199
5.45,84.43,55,0.071,0.82325,0.811416667,80.4,80.4,80.4,6.97,6.97,6.97,0.183
5.53,76.45,50.7,0.065,0.817833333,0.8055,80.4,80.4,80.4,6.97,6.97,6.97,0.183
3.27,75.71,52.1,0.064,0.8125,0.803333333,76.85,67.6,77.78,2.884,2.25,3.82,0.178
2.38,74.32,52.4,0.06,0.8075,0.798,76.85,67.6,77.78,2.884,2.25,3.82,0.178
2.31,72.09,60.7,0.05,0.803333333,0.793,76.85,67.6,77.78,2.884,2.25,3.82,0.16
2.15,77.22,65.3,0.049,0.79925,0.792583333,67.6,67.6,77.78,2.25,2.25,3.82,0.159
2.15,76.66,75.6,0.04,0.795916667,0.7885,67.6,67.6,77.78,2.25,2.25,3.82,0.16
2.18,67.6,84,0.03,0.793416667,0.785166667,67.6,67.6,77.78,2.25,2.25,3.82,0.164
